transaction_id,account_id,timestamp_val,location,device_type,ip_address,transaction_amount,transaction_type,successful_login,unusual_activity
f32d2812-121,54bbbcf8,2024-10-17 20:09:54,New York,Desktop,209.33.175.165,1878.96,Purchase,True,False
f2546c17-7a9,c342bd2b,2023-07-17 05:07:01,Sydney,Tablet,133.40.113.146,0.0,Login,False,False
81f25a73-7f2,cdeb2696,2021-02-06 05:34:43,Singapore,Mobile,124.42.190.37,0.0,Login,False,False
d98eb024-c81,91d51b06,2021-11-30 19:29:14,Singapore,Mobile,155.157.243.116,4754.06,Withdrawal,True,False
cfb57f2e-c82,dc6bf2c8,2021-12-08 14:39:14,Tokyo,Tablet,67.138.246.50,3662.65,Purchase,True,False
04a1dd66-bce,4d560a3d,2021-09-01 11:48:53,New York,Mobile,14.17.249.142,0.0,Login,False,False
200f8ed9-b20,f5f3943a,2024-09-12 13:05:04,Mumbai,Mobile,28.99.83.135,2997.31,Withdrawal,True,False
e5ab686c-1e3,92a593c8,2023-08-28 02:08:40,New York,Tablet,136.209.59.21,0.0,Login,False,False
3cf8b913-0ed,1d2d1771,2023-02-16 10:20:45,Tokyo,Tablet,53.245.197.60,788.53,Withdrawal,True,False
c0a85dbd-bf5,fab6ad91,2021-12-21 21:39:59,Tokyo,Mobile,64.164.167.79,0.0,Login,True,False
d007fd07-3ff,11836c4f,2024-07-23 23:16:49,Tokyo,Tablet,128.244.25.20,0.0,Login,False,False
0b31324f-485,22538040,2020-06-25 17:33:10,Tokyo,Tablet,72.28.28.252,788.41,Withdrawal,True,False
9b2aeea6-213,7d23d479,2022-09-02 22:55:25,London,Tablet,47.161.179.5,299.84,Withdrawal,True,False
400d083a-138,732fc932,2023-05-20 23:30:30,San Francisco,Desktop,19.234.129.210,4332.22,Transfer,True,False
3864bf75-dbd,47d6723c,2024-08-16 01:11:55,San Francisco,Mobile,103.109.134.122,3009.56,Withdrawal,True,False
de74e122-4ae,e44cbd41,2023-10-10 00:52:35,New York,Tablet,187.189.235.152,3543.28,Transfer,True,False
80e1cc41-8a9,a89f5f9d,2022-01-28 17:18:13,Tokyo,Desktop,12.71.211.11,0.0,Login,True,False
7c781b98-9f3,3873e57f,2020-11-20 07:00:03,London,Tablet,90.75.26.16,112.72,Transfer,True,False
3b046707-855,6c35e33c,2022-05-19 06:11:45,Sydney,Mobile,72.198.195.33,4849.85,Withdrawal,True,False
d0fe42af-b99,af194390,2022-08-05 09:54:53,London,Tablet,182.190.159.247,0.0,Login,True,False
c3a215ff-a66,50f53bd8,2021-03-17 01:23:49,Singapore,Mobile,79.11.246.221,4163.89,Transfer,True,False
4532499e-08a,1a432f0a,2023-11-10 19:01:12,New York,Mobile,200.21.204.244,1069.57,Transfer,True,False
0f49d01a-15a,b0b862ef,2022-05-13 14:44:47,Tokyo,Tablet,147.57.246.207,0.0,Login,True,False
61f14c98-dcd,b972393a,2022-05-17 02:38:37,Berlin,Mobile,169.177.36.210,0.0,Login,False,False
a8f0e3e0-2f3,76e5ae78,2023-04-10 02:34:14,Sydney,Desktop,23.46.174.134,917.31,Purchase,True,False
5909b7d6-c35,788f06ed,2023-09-01 08:01:29,Sydney,Desktop,12.225.226.243,0.0,Login,False,False
43355860-e84,584cb0f7,2020-03-21 18:06:40,Mumbai,Mobile,218.194.76.223,925.19,Transfer,True,False
